Company,Industry Sector,Country/Region,eBPF NFs Deployed,Specific Tools / Projects,How They Use eBPF NFs,UC1 Security: Conformance Check,UC1 Detail — What Yaksha Prashna Verifies,UC2 Debugging: NF Behavior,UC2 Detail — What Retrieval Queries Answer,UC3 Performance,UC3 Detail — What NF Analysis Optimizes,Fit Score (1-5),Priority Tier,Evidence / Source
Proton AG,Privacy / Encrypted Communications,Switzerland,"Cilium with host firewall NF; network policies; kube-proxy replacement; Hubble. Privacy-first encrypted communications infrastructure (Proton Mail, Proton VPN, Proton Drive).","Cilium; Hubble; host firewall NF; CiliumNetworkPolicy","Privacy-first encrypted infrastructure: Cilium host firewall NF enforces strict network isolation; ""no traffic leaves except via encrypted channels"" is a core architectural requirement; GDPR compliance",YES,"Privacy-first security: verify Cilium firewall NF correctly enforces ""all egress traffic uses encrypted paths"" — a one-line policy that Yaksha Prashna can formally verify from the bytecode",YES,Debugging unexpected firewall NF blocks that interrupt Proton's encrypted services,PARTIAL,Privacy infrastructure correctness is primary; performance secondary,3,Tier 2 — Strong,Cilium USERS.md (Proton AG entry)
PostFinance AG,Swiss Postal Bank / Financial Services,Switzerland,Cilium for mission-critical on-premise Kubernetes clusters. Network policies; kube-proxy replacement.,"Cilium; CiliumNetworkPolicy; kube-proxy replacement NF","Swiss postal bank running banking applications on on-premise Kubernetes; Cilium NFs enforce network policies for banking workload isolation; FINMA (Swiss financial regulator) compliance",YES,"FINMA regulatory requirements — verify Cilium NFs enforce banking network segmentation requirements: ""Does this NF prevent core banking system from receiving external connections?""",PARTIAL,Banking network debugging for connectivity issues in mission-critical systems,PARTIAL,Mission-critical banking systems — consistent NF execution over time matters,3,Tier 2 — Strong,Cilium USERS.md (PostFinance AG entry)
Plaid,FinTech / Open Banking,USA,"Cilium CNI and network policies on self-hosted Kubernetes (AWS). Open banking data aggregation platform serving thousands of financial apps.","Cilium; CiliumNetworkPolicy","Open banking infrastructure aggregating financial data for consumer apps; Cilium enforces network isolation between bank connections and customer data; PCI-DSS + SOC2 compliance required",YES,"PCI-DSS and SOC2 compliance — verify Cilium NFs correctly isolate financial data aggregation workloads: ""Does this NF prevent cross-customer data access?""",PARTIAL,Debugging unexpected network connectivity issues in financial data pipeline,PARTIAL,Open banking API performance for consumer financial apps,3,Tier 3 — Moderate,Cilium USERS.md (Plaid entry)
Polar Signals,Continuous Profiling SaaS,USA,"Parca: eBPF profiling platform (open-source); kubezonnet: eBPF netfilter NF for cross-zone Kubernetes traffic monitoring (achieved 50% cross-zone cost reduction","Parca (GitHub: parca-dev/parca); kubezonnet (custom eBPF netfilter); Cilium (GKE Dataplane V2)","Built kubezonnet specifically to understand cross-zone traffic behavior and reduce cloud costs; Parca uses eBPF NFs to collect system-wide stack traces with <1% overhead",PARTIAL,Parca and kubezonnet NFs should capture exactly what they're designed to capture — conformance of monitoring NFs,YES — Strong,"kubezonnet was BUILT to answer ""which traffic flows are cross-zone?"" — exactly a retrieval query on a netfilter NF. Yaksha Prashna provides this systematically for any eBPF netfilter NF.",YES — Strong,"50% cross-zone cost reduction came from understanding NF behavior. Yaksha Prashna provides structured behavioral analysis that enabled this insight, applicable to other networking cost optimizations",3,Tier 2 — Strong,"eBPF Foundation case study on kubezonnet; Parca GitHub; Cilium USERS.md (Polar Signals entry); BusinessWire announcement"
Grafana Labs (Beyla),Observability Platform,Sweden / USA,"Beyla: zero-code eBPF-based automatic instrumentation NF capturing HTTP/S and gRPC service events, producing OpenTelemetry traces and RED metrics.","Beyla (GitHub: grafana/beyla); eBPF NFs for HTTP/gRPC interception; libbpf","Beyla eBPF NF attaches to application binaries and kernel to capture service traffic without code changes; produces OTel traces shipped to Grafana/Prometheus backends; widely deployed",YES,"Beyla NF must capture exactly the HTTP/gRPC events specified by OpenTelemetry spec — verify bytecode matches OTel semantic conventions: ""Does this NF capture ALL HTTP request/response pairs?""",YES — Strong,"When traces are missing: ""Under what conditions does the Beyla eBPF NF fail to capture HTTP events?"" — behavioral analysis of the NF identifies the exact condition (e.g. specific HTTP method; content-encoding; TLS version)",YES — Critical,"Zero-overhead instrumentation is Beyla's core product promise — any NF overhead > threshold = product failure. Behavioral analysis identifies CPU-intensive NF code paths for specific traffic patterns",3,Tier 2 — Strong,"Beyla GitHub (grafana/beyla); eBPF.io applications listing; Grafana Labs blog on Beyla"
Nokia (L3AF),Telecom Equipment / 5G,Finland (Global),[See Nokia entry above — same row],[Same as Nokia L3AF above],[Same],[Same],[Same],[Same],[Same],[Same],[Same],5,Tier 1 — Primary,[See Nokia above]
Red Hat / IBM (OpenShift),Enterprise Kubernetes Platform,USA (Global),"Ingress Node Firewall: OpenShift-contributed eBPF XDP stateless ingress node firewall operator; Cilium integration in OpenShift; OVN-Kubernetes with eBPF","Ingress Node Firewall (GitHub: openshift/ingress-node-firewall); Cilium; OVN-Kubernetes","Ingress Node Firewall: eBPF XDP program enforces stateless firewall rules at the node level via Kubernetes operator; widely deployed in OpenShift enterprise clusters for perimeter security",YES — Strong,"Verify Ingress Node Firewall XDP NF correctly implements the firewall rules specified in the Kubernetes operator CRDs: ""Does this XDP NF drop ALL traffic matching rule set R?""",YES,"Enterprise OpenShift customers debug unexpected network blocks — behavioral analysis of the XDP firewall NF explains which rules triggered the block",PARTIAL,Enterprise k8s network performance — XDP NF efficiency matters for node-level filtering throughput,3,Tier 2 — Strong,"ingress-node-firewall GitHub (openshift/); eBPF.io applications listing"
Canonical (Ubuntu),Linux OS / Cloud,UK,MicroK8s: Cilium as CNI plugin — eBPF networking; network policies for Kubernetes distributions.,"Cilium; kube-proxy replacement NF; CiliumNetworkPolicy","MicroK8s is Canonical's lightweight Kubernetes distribution used by millions of developers and on-prem deployments; Cilium provides eBPF-based networking",PARTIAL,MicroK8s user network policy conformance,PARTIAL,Debugging Cilium NF behavior in MicroK8s single-node and multi-node deployments,PARTIAL,Lightweight Kubernetes — NF efficiency matters for resource-constrained deployments,2,Tier 3 — Moderate,Cilium USERS.md (Canonical entry)
FPT Telecom,Vietnamese Telecom Operator,Vietnam,Cilium CNI for massive CPE (Customer Premises Equipment) management traffic. Full Cilium feature set: CiliumNetworkPolicy; kube-proxy replacement; BGP; L2 Announcement; Egress Gateway.,"Cilium (full feature set); BGP NF; Egress Gateway NF","ISP managing millions of CPE devices (modems, routers) via Kubernetes-orchestrated backend; Cilium NFs enforce traffic isolation between CPE management and subscriber data",YES,CPE management traffic isolation from subscriber private data — Cilium NF conformance for ISP regulatory compliance,YES,ISP-scale routing anomaly debugging — BGP and Egress Gateway NF behavioral analysis for traffic engineering,YES,ISP-scale traffic demands NF efficiency — Cilium BGP and routing NF performance optimization,3,Tier 2 — Strong,Cilium USERS.md (FPT Telecom entry)
Exein (Pulsar Framework),IoT Security,Italy,"Pulsar: modular runtime security framework for IoT Linux devices written in Rust + eBPF. Monitors kernel events and evaluates against security policies. Lightweight for embedded systems.","Pulsar (GitHub: Exein-io/pulsar); eBPF LSM hooks; Rust + eBPF","IoT device security: Pulsar eBPF NF monitors all kernel events on embedded Linux; evaluates events against security policies; blocks unauthorized behaviors on constrained IoT hardware",YES — Critical,"IoT devices are hard to update in the field. Yaksha Prashna verifies Pulsar eBPF NF bytecode correctly implements stated security policy BEFORE deployment to thousands of field devices — catching policy encoding bugs pre-production",YES — Critical,"Post-deployment: field devices show anomalous behavior — behavioral analysis of Pulsar NF identifies: ""Under what kernel event conditions does this NF trigger/fail to trigger the security policy?""",PARTIAL,Embedded Linux resource constraints — eBPF NF efficiency critical for battery-powered and RAM-constrained IoT devices,3,Tier 2 — Strong,"Pulsar GitHub (Exein-io/pulsar); eBPF.io applications listing; Exein.io blog"
ClickHouse,Analytical Database (Cloud),Netherlands / USA,Cilium CNI for AWS Kubernetes. CiliumNetworkPolicy; Hubble; ClusterMesh.,"Cilium; Hubble; ClusterMesh; CiliumNetworkPolicy","Cloud-native OLAP database using Cilium for multi-tenant customer cluster isolation; ClusterMesh for cross-cluster data access; Hubble for observability",YES,Multi-tenant analytical database — data isolation conformance: verify Cilium NF prevents cross-customer data access,YES,Cross-cluster ClusterMesh debugging — NF behavioral analysis for network connectivity between customer clusters,PARTIAL,High-throughput analytical query network performance,2,Tier 3 — Moderate,Cilium USERS.md (ClickHouse entry)
Confluent,Data Streaming Platform (Apache Kafka),USA,Cilium CNI; CiliumNetworkPolicy for Kafka cloud infrastructure.,"Cilium; CiliumNetworkPolicy","Confluent Cloud: managed Kafka data streaming for enterprise customers; Cilium NFs enforce network isolation of customer Kafka topics and clusters; multi-tenant data streaming",YES,Multi-tenant data streaming isolation — verify Cilium NF prevents cross-customer Kafka topic access,YES,Debugging Kafka cluster network policy connectivity issues,PARTIAL,High-throughput data streaming — NF performance matters for message delivery latency,2,Tier 3 — Moderate,Cilium USERS.md (Confluent entry)
GitLab,DevOps Platform,USA (Netherlands HQ),Cilium for network policies in Auto DevOps deployed Kubernetes clusters for GitLab.com customers.,"Cilium; CiliumNetworkPolicy","GitLab uses Cilium to implement network policies in customer-facing Auto DevOps deployments; developers get automated CI/CD pipelines with eBPF-enforced network policies",YES,Verify Cilium NF correctly implements GitLab Auto DevOps network policies — security conformance for developer-facing cloud platform,YES,Auto DevOps pipeline network debugging — behavioral analysis of why network policies block CI/CD pipeline components,PARTIAL,GitLab CI/CD network performance for developer workflows,2,Tier 3 — Moderate,"Cilium USERS.md (GitLab entry); GitLab docs on Cilium"
Kakao,Korean Internet / Social Platform,South Korea,"Cilium as CNI for private cloud managed Kubernetes. EXPLICITLY lists ""Custom eBPF programs"" — unusual among Cilium users.","Cilium; Custom eBPF programs (explicitly documented)","Korean internet company (KakaoTalk etc.) running private cloud Kubernetes with Cilium; custom eBPF programs suggest Kakao extends beyond standard Cilium NFs with their own bytecode",YES — Strong,Custom eBPF programs make Yaksha Prashna directly applicable: Kakao writes eBPF NF bytecode. Verify their custom programs meet security specifications.,YES — Strong,"Custom NF debugging is HARDER than standard Cilium debugging — no documentation, no source code guarantee. Yaksha Prashna behavioral analysis is exactly what's needed.",YES — Strong,"Custom eBPF programs may have performance regressions not present in well-tested Cilium. Behavioral analysis identifies optimization opportunities in Kakao's custom NFs",3,Tier 2 — Strong,"Cilium USERS.md (Kakao entry — explicitly lists Custom eBPF programs); KubeCon presentation"
CoreWeave,AI Hyperscaler (GPU Cloud),USA,Cilium as default CNI for CoreWeave Kubernetes Service. AI/ML infrastructure requiring high-bandwidth networking.,"Cilium; high-performance networking NFs","GPU cloud for AI model training and inference; Cilium eBPF-based networking for high-bandwidth inter-GPU communication; AI workload isolation",YES,AI training workload isolation — data and model protection via Cilium NF conformance,PARTIAL,AI training cluster network debugging,YES — Critical,"AI/ML requires extreme network throughput (RDMA-over-Ethernet, high-bandwidth GPU interconnect). Cilium NF efficiency is critical for AI training throughput.",2,Tier 3 — Moderate,"Cilium USERS.md (CoreWeave entry); CoreWeave website"
Deezer,Music Streaming,France,Cilium as CNI for all on-prem Kubernetes clusters (performance + security focus). Plans for BGP-based routing NFs.,"Cilium; kube-proxy replacement NF; CiliumNetworkPolicy","French music streaming service running on-premise Kubernetes with Cilium; chose Cilium specifically for performance and security; planning eBPF-based BGP routing NFs",PARTIAL,Music streaming content CDN isolation,PARTIAL,Network connectivity debugging for streaming microservices,YES,Streaming latency requirements — Cilium NF performance directly impacts audio streaming quality,2,Tier 3 — Moderate,Cilium USERS.md (Deezer entry)
Celonis,Process Mining / Enterprise SaaS,Germany (Global),"Cilium as primary CNI across entire GLOBAL cluster fleet. Transparent Encryption NF; Hubble; CiliumNetworkPolicies across all environments (AWS, GCP, OCI).","Cilium; Transparent Encryption NF (WireGuard); Hubble; CiliumNetworkPolicy","Standardized on Cilium globally; transparent encryption NF encrypts all inter-pod traffic across AWS/GCP/OCI; Hubble for visibility; CiliumNetworkPolicies for isolation",YES,"Enterprise data: process mining analyzes customer business processes. Transparent encryption NF conformance: verify ALL inter-pod traffic is encrypted — ""Does this WireGuard NF encrypt every connection?""",YES,Global cross-cloud NF debugging — Hubble + behavioral analysis for policy anomalies,YES,Global multi-cloud consistent NF performance across AWS/GCP/OCI,2,Tier 3 — Moderate,Cilium USERS.md (Celonis entry)
Daimler Truck AG,Commercial Vehicles / Manufacturing,Germany,Cilium as default CNI for AKS (Azure BYOCNI) shared Kubernetes clusters for DevOps teams. Network policy; Hubble monitoring.,"Cilium (Azure BYOCNI); CiliumNetworkPolicy; Hubble","Industrial manufacturing cloud — shared Kubernetes cluster across multiple DevOps teams; Cilium enforces network isolation between teams; Hubble for monitoring",YES,ISO 27001 compliance for industrial manufacturing — verify Cilium NF correctly isolates team workloads in shared cluster,YES,Cross-team shared cluster network debugging — behavioral analysis of why one team's workload is blocked from another,PARTIAL,Manufacturing cloud SLAs — consistent NF execution,2,Tier 3 — Moderate,Cilium USERS.md (Daimler Truck AG entry)
New Relic,Observability SaaS,USA,eBPF-based zero-instrumentation APM agents for application performance monitoring. Network tracing NFs.,"Custom eBPF APM agents; network tracing NFs","Zero-instrumentation observability: eBPF NFs capture application traces without code changes; network tracing NFs observe all HTTP/gRPC flows between services",YES,APM capture NF must capture events as specified by New Relic's data model — conformance of monitoring NF,YES,When APM traces are missing or incorrect — behavioral analysis of the eBPF capture NF identifies the gap condition,YES,APM agent overhead is a commercial sensitivity — NF efficiency directly impacts adoption and pricing,2,Tier 3 — Moderate,New Relic engineering blog on eBPF
Akamai Technologies,CDN / Security,USA,"eBPF-based edge network observability and DDoS mitigation at PoPs (points of presence), similar XDP-based architecture to Cloudflare","Custom XDP eBPF programs; edge NFs","CDN edge nodes use eBPF for high-performance packet processing, DDoS mitigation and content delivery optimization at hundreds of PoPs globally",YES,Edge DDoS rule conformance — verify XDP NF correctly implements mitigation rules at each PoP,YES,Edge NF behavioral debugging for routing anomalies,YES — Strong,Edge CDN performance is core business — eBPF NF efficiency at line-rate matters,3,Tier 2 — Strong,Public Akamai engineering content; CDN industry eBPF adoption patterns
Apple,Consumer Technology / OS,USA,"Internal infrastructure eBPF-based observability NFs; macOS Network Extension framework (eBPF-adjacent); internal server-side eBPF on Linux servers","Custom eBPF; Network Extension (macOS); internal tooling","Apple uses eBPF on internal Linux server infrastructure for observability; macOS Network Extension provides analogous capabilities for app-layer network filtering",PARTIAL,Internal infrastructure security conformance,PARTIAL,Internal debugging of server-side NF behavior,PARTIAL,Internal infrastructure performance optimization,2,Tier 3 — Moderate,eBPF.io user list; public Apple engineering content
